#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         693     1.78817     1.81077   0.0131098
         694     1.79068     1.81074   0.0130909
         695     1.79338     1.81071   0.0130721
         696     1.79625     1.81069   0.0130533
         697     1.79927     1.81068   0.0130346
         698      1.8024     1.81066    0.013016
         699     1.80564     1.81066   0.0129973
         700     1.80895     1.81066   0.0129788
         701      1.8123     1.81066   0.0129603
         702     1.81567     1.81066   0.0129418
         703     1.81903     1.81068   0.0129234
         704     1.82235     1.81069    0.012905
         705     1.82559     1.81071   0.0128868
         706     1.82872     1.81074   0.0128685
         707     1.83173     1.81077   0.0128504
         708     1.83457      1.8108   0.0128323
         709     1.83723     1.81084   0.0128142
         710     1.83968     1.81088   0.0127962
         711     1.84191     1.81092   0.0127783
         712     1.84388     1.81097   0.0127604
         713     1.84557     1.81102   0.0127426
         714     1.84699     1.81107   0.0127249
         715      1.8481     1.81112   0.0127072
         716      1.8489     1.81117   0.0126896
         717     1.84939     1.81123    0.012672
         718     1.84956     1.81128   0.0126544
         719      1.8494     1.81133   0.0126369
         720     1.84893     1.81139   0.0126195
         721     1.84814     1.81144   0.0126021
         722     1.84703     1.81149   0.0125847
         723     1.84563     1.81153   0.0125674
         724     1.84393     1.81158   0.0125502
         725     1.84197     1.81162   0.0125329
         726     1.83975     1.81166   0.0125157
         727     1.83729     1.81169   0.0124985
         728     1.83462     1.81173   0.0124814
