       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
          19     1.04881    0.742079    0.781756  0.00561658
          19     1.18865    0.717381    0.762331  0.00817029
          19     1.32849    0.693247     0.69206  0.00654797
          19     1.46833    0.604058    0.600685  0.00438676
          19     1.60817    0.478089    0.494192  0.00381138
          19     1.74801    0.393469    0.386503  0.00453779
          19     1.88786    0.285741    0.283289  0.00468122
          19      2.0277     0.20804    0.202726    0.003703
          19     2.16754    0.126764     0.13402  0.00199864
          19     2.30738   0.0828652   0.0850763  0.00175234
          19     2.44722    0.054791   0.0499749  0.00197795
          19     2.58706   0.0242007   0.0289506  0.00157809
          19      2.7269   0.0155269   0.0178408  0.00114893
          19     2.86674   0.0129115  0.00924712  0.00107836
          19     3.00659  0.00556187  0.00541202 0.000587708
          19     3.14643  0.00122493  0.00250563 0.000399532
          19     3.28627  0.00115872  0.00111168 0.000292328
          19     3.42611 0.000430382 0.000468716 0.000141132
          19     3.56595 0.000761446 0.000345003 0.000177444
          19     3.70579  0.00119183 0.000209093 0.000117896
          19     3.84563           0 0.000163789 0.000159421
          19     3.98547           0 9.06068e-05 8.81902e-05
          19     4.12531           0           0           0
          20   0.0699206  0.00854144   0.0118008 0.000692059
          20    0.209762   0.0844874   0.0849211  0.00254758
          20    0.349603    0.211748    0.203541  0.00354985
          20    0.489444    0.409393    0.372046  0.00532775
          20    0.629285    0.530364    0.525234  0.00584251
          20    0.769126    0.683381     0.66477   0.0061067
          20    0.908968    0.716951    0.751342  0.00478379
          20     1.04881    0.775715    0.781454  0.00534386
          20     1.18865      0.8022    0.764324  0.00800126
          20     1.32849    0.692187    0.692067  0.00622058
          20     1.46833    0.566317    0.598967   0.0044914
          20     1.60817    0.484147     0.49369  0.00365375
          20     1.74801    0.356688    0.385012  0.00454918
          20     1.88786    0.264785    0.282364  0.00453767
          20      2.0277    0.195195    0.202349  0.00353694
          20     2.16754    0.148912    0.134764  0.00203269
